r_hip,l_hip,r_knee,l_knee,r_foot,l_foot
153.18235931274052,168.78973415937904,156.86,152.94,"[0.19190770387649536, 0.6289483904838562]","[0.10623732209205627, 0.6323540210723877]"
152.5853460075917,165.90514685674555,164.34,129.79,"[0.20959614217281342, 0.6253241300582886]","[0.11238149553537369, 0.6178322434425354]"
156.947291065052,172.50479740923376,168.26,86.34,"[0.22180287539958954, 0.6271304488182068]","[0.1265382319688797, 0.5972180366516113]"
165.35829164339145,178.90078593493774,174.86,69.15,"[0.2305530309677124, 0.6437011361122131]","[0.1706373691558838, 0.6052393913269043]"
161.53890596921693,166.4461027328089,166.44,105.17,"[0.230726420879364, 0.6493397951126099]","[0.19748088717460632, 0.6090012788772583]"
157.61812974608875,163.47428376945732,48.9,152.12,"[0.20624864101409912, 0.6030339598655701]","[0.23254899680614471, 0.6513116359710693]"
168.67128571615194,146.5987860264856,150.89,81.93,"[0.22711597383022308, 0.6496836543083191]","[0.22779487073421478, 0.6028183102607727]"
175.08400396092148,139.94908444309286,154.04,97.24,"[0.23143219947814941, 0.6532144546508789]","[0.26169562339782715, 0.6130749583244324]"
176.8827085698638,133.5638971134915,163.17,117.69,"[0.2324628233909607, 0.653022825717926]","[0.294056236743927, 0.6206920146942139]"
175.54692515803566,136.46561058879274,156.82,131.87,"[0.2380794733762741, 0.6481128334999084]","[0.324442595243454, 0.6232967972755432]"
170.54789010717874,146.79092884552892,144.18,151.85,"[0.24462488293647766, 0.6321472525596619]","[0.34915295243263245, 0.6231266856193542]"
174.19415415497753,142.78746833707774,112.99,155.65,"[0.2553330659866333, 0.6073347330093384]","[0.3644407391548157, 0.6229281425476074]"
178.35039824190025,143.82065781563477,92.79,133.16,"[0.276435524225235, 0.5969541072845459]","[0.342389315366745, 0.6247087717056274]"
174.56900099238095,156.23681155751024,57.53,163.24,"[0.2981713116168976, 0.5893517732620239]","[0.3790794014930725, 0.6447911858558655]"
159.02092390902868,166.4673187539094,156.61,147.72,"[0.3802422881126404, 0.6438080668449402]","[0.35060378909111023, 0.6342920660972595]"
152.74621807027287,162.32696572492546,64.17,154.82,"[0.35638460516929626, 0.6123975515365601]","[0.3804485499858856, 0.6495574712753296]"
144.02577599262273,171.9352733266957,88.39,161.25,"[0.38536468148231506, 0.6161181926727295]","[0.37999969720840454, 0.6496380567550659]"
134.71637591247836,176.3902792884428,99.84,167.74,"[0.4196241796016693, 0.6220190525054932]","[0.3811267614364624, 0.6497090458869934]"
137.55991077349506,172.05688953661482,125.38,162.81,"[0.45390385389328003, 0.6260021328926086]","[0.3834596276283264, 0.6446759104728699]"
144.42649278822688,167.1519601182268,144.21,150.05,"[0.48349589109420776, 0.6268583536148071]","[0.3888497054576874, 0.6303452253341675]"
149.07678733374718,164.95234901298062,158.96,120.43,"[0.5050981640815735, 0.627456545829773]","[0.39725595712661743, 0.6060900688171387]"
154.96307206186745,166.65746147317364,164.51,80.83,"[0.5204846262931824, 0.6312320232391357]","[0.41588741540908813, 0.5816575288772583]"
155.0699786954383,174.90176362228345,162.81,56.39,"[0.5278139710426331, 0.6430158019065857]","[0.43896979093551636, 0.5657824873924255]"
155.60792312127586,174.0425827201064,159.4,42.47,"[0.530268669128418, 0.6521419882774353]","[0.4670797884464264, 0.5716712474822998]"
157.57559496733802,163.49023686367127,41.61,157.27,"[0.49440354108810425, 0.5862110257148743]","[0.529646635055542, 0.6479544639587402]"
160.0129182552137,149.79824076239618,137.3,95.91,"[0.5214918851852417, 0.64211505651474]","[0.5259277820587158, 0.6053163409233093]"
173.93020926697204,146.45955101030674,158.19,100.42,"[0.5277960896492004, 0.65212082862854]","[0.5536231398582458, 0.6156383752822876]"
176.18311050509638,142.0762075479095,166.66,117.1,"[0.5310742855072021, 0.6511769890785217]","[0.5876544713973999, 0.6227623224258423]"
173.00284291361206,142.57750870837714,156.31,134.5,"[0.5373418927192688, 0.6493209600448608]","[0.6203621029853821, 0.6249590516090393]"
169.37787559086624,148.63769747863554,138.84,153.28,"[0.5451086759567261, 0.6258717775344849]","[0.6483413577079773, 0.6236809492111206]"
171.58296358516455,148.025441415871,110.26,159.66,"[0.5578827857971191, 0.6023324131965637]","[0.6689228415489197, 0.6223236322402954]"
176.57743023226678,150.10006048806247,75.41,160.48,"[0.5768775343894958, 0.5864521861076355]","[0.6792325377464294, 0.6281789541244507]"
